1 1 175138 175138 14274.9 0 1e-07
1 7	
	0.2	0.3	0.4	0.5	0.6
	0.7	0.8	
2 7	
	0.08	0.08	0.08	0.08	0.08
	0.3011981716	0.92	
3 7	
	0.08	0.08	0.08	0.09028620585	0.3692490454
	0.5803594515	0.92	
4 7	
	0.08	0.08	0.2469050936	0.4180572412	0.5538498091
	0.6760718903	0.827584376	
5 7	
	0.08	0.3544036961	0.92	0.3964164873	0.92
	0.92	0.92	
6 7	
	0.08	0.1623211088	0.5725069401	0.411565015	0.7138270222
	0.92	0.9058137013	
7 7	
	0.08	0.92	0.6330741072	0.2987873464	0.7463140603
	0.92	0.3360029818	
8 7	
	0.08	0.92	0.4793090151	0.2426448902	0.92
	0.92	0.4410250197	
9 7	
	0.08	0.92	0.5869445795	0.2819446096	0.8789740601
	0.92	0.3675095932	
10 7	
	0.08	0.92	0.6238482016	0.2954187991	0.7728460603
	0.92	0.3423043041	
11 7	
	0.08	0.92	0.6138124466	0.2912755047	0.7713243555
	0.92	0.3428752567	
12 7	
	0.08	0.92	0.6051156443	0.2849967801	0.7690405218
	0.92	0.3437914167	
13 7	
	0.08	0.92	0.5917103004	0.2742778148	0.7652174266
	0.92	0.3451756912	
14 7	
	0.08	0.92	0.5720506829	0.2580988077	0.7589986967
	0.92	0.347475058	
15 7	
	0.08	0.92	0.5647818692	0.2321715101	0.7466829639
	0.92	0.3507427658	
16 7	
	0.08	0.92	0.5630633324	0.2097323778	0.7301752322
	0.92	0.3553063885	
17 7	
	0.08	0.92	0.5547691023	0.1790861939	0.7165383412
	0.92	0.3613135857	
18 7	
	0.08	0.92	0.5471721234	0.1396560406	0.7012820438
	0.92	0.3647236769	
19 7	
	0.08	0.92	0.5524900086	0.1672571479	0.711961452
	0.92	0.3623366131	
20 7	
	0.08	0.92	0.5504910033	0.1552735774	0.7082366867
	0.92	0.3631149511	
21 7	
	0.08	0.92	0.551890307	0.1636620768	0.7108440224
	0.92	0.3625701145	
22 7	
	0.08	0.92	0.5523700683	0.1665381337	0.7117379661
	0.92	0.3623833134	
23 7	
	0.08	0.92	0.5522508697	0.1658190081	0.7115173217
	0.92	0.3624284443	
24 7	
	0.08	0.92	0.5520730806	0.1647372666	0.7111891249
	0.92	0.362495639	
25 7	
	0.08	0.92	0.5518116826	0.1631068857	0.710686032
	0.92	0.3625944776	
26 7	
	0.08	0.92	0.5519946612	0.1642481524	0.711038197
	0.92	0.3625252906	
27 7	
	0.08	0.92	0.5519946612	0.1642481524	0.711038197
	0.92	0.3625252906	
28 7	
	0.08	0.92	0.5519946612	0.1642481523	0.711038197
	0.92	0.3625252906	
29 7	
	0.08	0.92	0.5519946612	0.1642481523	0.711038197
	0.92	0.3625252906	
