1 7	
	0.2	0.3	0.4	0.5	0.6
	0.7	0.8	
2 7	
	0.08	0.08	0.08	0.08	0.08
	0.3011981716	0.92	
3 7	
	0.08	0.08	0.08	0.09028620585	0.3692490454
	0.5803594515	0.92	
4 7	
	0.08	0.08	0.2469050936	0.4180572412	0.5538498091
	0.6760718903	0.827584376	
5 7	
	0.08	0.3411734983	0.92	0.3952158223	0.92
	0.92	0.92	
6 7	
	0.08	0.1583520495	0.566861253	0.4112048155	0.711175282
	0.92	0.9047522654	
7 7	
	0.08	0.92	0.6304105969	0.2702918207	0.7292088664
	0.92	0.3215118542	
8 7	
	0.08	0.92	0.4604630134	0.201209374	0.92
	0.92	0.251842603	
9 7	
	0.08	0.92	0.5794263219	0.2495670867	0.8611662891
	0.92	0.3006110789	
10 7	
	0.08	0.92	0.6202137419	0.2661468739	0.7556003509
	0.92	0.3173316991	
11 7	
	0.08	0.92	0.6283712259	0.2694628314	0.7344871633
	0.92	0.3206758232	
12 7	
	0.08	0.92	0.6260409243	0.2686695002	0.7342606787
	0.92	0.3208075009	
13 7	
	0.08	0.92	0.6224442513	0.2674582229	0.7339153228
	0.92	0.3210050348	
14 7	
	0.08	0.92	0.6169343365	0.2655934241	0.7333991273
	0.92	0.3213012855	
15 7	
	0.08	0.92	0.6080901857	0.2627199222	0.7326051445
	0.92	0.3217486063	
16 7	
	0.08	0.92	0.5991866922	0.2585032779	0.7314856843
	0.92	0.3224107567	
17 7	
	0.08	0.92	0.5852169811	0.251836736	0.7297803091
	0.92	0.3234635274	
18 7	
	0.08	0.92	0.5728659504	0.2435917539	0.7274452062
	0.92	0.3251126541	
19 7	
	0.08	0.92	0.5547759809	0.2309216303	0.7236518963
	0.92	0.3275720917	
20 7	
	0.08	0.92	0.5429372765	0.2160604363	0.7169205513
	0.92	0.331080935	
21 7	
	0.08	0.92	0.5305639972	0.1946678485	0.7083641461
	0.92	0.3358117494	
22 7	
	0.08	0.92	0.5367043204	0.1636032554	0.6904797183
	0.92	0.3412967079	
23 7	
	0.08	0.92	0.5279282209	0.114327434	0.6907828915
	0.92	0.3452436235	
24 7	
	0.08	0.92	0.5340714906	0.148820509	0.6905706703
	0.92	0.3424807826	
25 7	
	0.08	0.92	0.5361777545	0.1606467061	0.6904979087
	0.92	0.3415335228	
26 7	
	0.08	0.92	0.5356757861	0.1576548559	0.6904707403
	0.92	0.3417616419	
27 7	
	0.08	0.92	0.5356757861	0.1576548559	0.6904707403
	0.92	0.3417616419	
28 7	
	0.08	0.92	0.5356757861	0.1576548559	0.6904707403
	0.92	0.3417616419	
29 7	
	0.08	0.92	0.5356757861	0.1576548558	0.6904707403
	0.92	0.3417616419	
