1 7	
	0.2	0.3	0.2	0.3	0.2
	0.3	0.2	
2 7	
	0.199323117	0.2419173225	0.3436779781	0.08	0.5362565718
	0.08	0.7	
3 7	
	0.1996165363	0.08	0.08	0.4825828288	0.5738845235
	0.5035154751	0.733120136	
4 7	
	0.1994111428	0.1902825342	0.1186779781	0.2007748486	0.5475449573
	0.2070546425	0.7099360408	
5 7	
	0.1993407222	0.2315903648	0.2986779781	0.1041549697	0.5385142489
	0.1054109285	0.7019872082	
6 7	
	0.1993266381	0.2398519309	0.3346779781	0.08483099395	0.5367081072
	0.0850821857	0.7003974416	
7 7	
	0.1993238212	0.2415042442	0.3418779781	0.08096619879	0.5363468788
	0.08101643714	0.7000794883	
8 7	
	0.1993232579	0.2418347068	0.3433179781	0.08019323976	0.5362746332
	0.08020328743	0.7000158977	
9 7	
	0.1993231452	0.2419007993	0.3436059781	0.08003864795	0.536260184
	0.08004065749	0.7000031795	
