0 1 0.00238015 -0.001869 0 50
1 1 0.000742664 -0.00181124 0 50
2 1 0.000135859 -0.00174356 0 50
3 1 0.000106817 -0.00182 0 50
4 1 8.86041e-05 -0.00186836 0 50
5 1 7.62131e-05 -0.00184964 0 50
6 0 9.86067e-05 -0.00156971 0 25
7 0 7.74792e-05 -0.00179156 0 12.5
8 0 7.62261e-05 -0.00178619 0 6.25
9 1 7.42835e-05 -0.00181424 0 6.25
10 0 7.79399e-05 -0.00175875 0 3.125
11 0 7.79399e-05 -0.00175875 0 1.5625
12 0 7.79399e-05 -0.00175875 0 0.78125
13 0 7.79399e-05 -0.00175875 0 0.390625
14 0 7.6323e-05 -0.00176699 0 0.195312
15 1 7.36207e-05 -0.00178979 0 0.292969
16 0 7.62937e-05 -0.00175664 0 0.146484
17 0 7.67572e-05 -0.00176496 0 0.0732422
18 0 7.49024e-05 -0.00177491 0 0.0366211
19 0 7.44236e-05 -0.00178064 0 0.0183105
20 1 7.31035e-05 -0.00178251 0 0.0274658
