1 1 175138 175138 14274.9 0 1e-07
2 1 2.75738e+09 232930 422946 6537.45 5e-07
3 0 1.57134e+09 194354 241530 6537.45 5e-08
4 0 5.17344e+07 143346 9091.62 6537.45 5e-09
5 1 7.18171e+08 245872 69683 10483.3 2.5e-08
6 0 3.59296e+08 221577 35452.1 10483.3 2.5e-09
7 0 7.48142e+07 141007 8323.09 10483.3 2.5e-10
8 1 5.228e+07 134316 4912.81 14044.8 1.25e-09
9 1 1.22387e+09 213357 78153.9 15901.2 6.25e-09
10 0 4.64218e+08 172571 30383.1 15901.2 6.25e-10
11 0 2.67e+07 134457 2870.66 15901.2 6.25e-11
12 1 1.13173e+06 136013 1259.49 16736.5 3.125e-10
13 1 1.40789e+08 164283 9587.36 16766.3 1.5625e-09
14 0 1.54622e+07 143797 2113.64 16766.3 1.5625e-10
15 0 -728547 136919 1148.38 16766.3 1.5625e-11
16 1 137341 137341 1076.35 0 7.8125e-11
17 0 136919 136919 1148.38 0 7.8125e-12
18 1 136919 136919 1148.38 0 3.90625e-11
19 1 136919 136919 1148.38 0 1.95312e-10
20 1 136919 136919 1148.38 0 9.76562e-10
21 1 136919 136919 1148.38 0 4.88281e-09
22 1 136919 136919 1148.38 0 2.44141e-08
23 1 136919 136919 1148.38 0 1.2207e-07
24 1 136919 136919 1148.38 0 6.10352e-07
25 1 136919 136919 1148.38 0 3.05176e-06
26 1 136919 136919 1148.36 0 1.52588e-05
27 1 136919 136919 1148.3 0 7.62939e-05
28 1 136921 136921 1147.96 0 0.00038147
