1 0.6
2 0.10014
3 0.450042
4 0.570008
5 0.594002
1 0.6
2 0.10014
3 0.450042
4 0.570008
5 0.594002
1 0.4
2 0.08
3 0.259945
4 0.371989
5 0.394398
6 0.39888
1 0.4
2 0.08
3 0.409945
4 0.314635
1 0.4
2 0.08
3 0.83
4 0.08
5 0.509486
6 0.92
7 0.92
8 0.92
9 0.92
10 0.92
11 0.92
12 0.92
13 0.92
14 0.92
15 0.92
16 0.92
17 0.92
18 0.92
19 0.92
20 0.92
21 0.92
22 0.92
1 0.4
2 0.370739
3 0.0973679
4 0.411759
5 0.415308
6 0.586418
1 0.4
2 0.370739
3 0.0973679
4 0.411759
5 0.415308
6 0.586418
7 0.92
8 0.92
9 0.332297
10 0.08
11 0.08
12 0.08
13 0.08
14 0.217365
15 0.30931
16 0.3277
17 0.331377
18 0.332113
19 0.33226
20 0.33229
21 0.332295
22 0.332297
23 0.332297
