0 1 0.0177741 50
1 1 0.0176897 50
2 1 0.0167734 50
3 1 0.0152612 50
4 1 0.0140401 50
5 1 0.0132765 50
6 1 0.0120651 50
7 1 0.0105514 50
8 1 0.00943244 50
9 1 0.00821503 50
10 1 0.00779568 50
11 1 0.00707363 50
12 1 0.0067017 50
13 1 0.00633956 50
14 1 0.00609808 50
15 0 0.00609808 25
16 0 0.00609808 12.5
17 0 0.00609808 6.25
18 1 0.0060675 9.375
19 0 0.0060675 4.6875
20 0 0.0060675 2.34375
21 0 0.0060675 1.17188
22 0 0.0060675 0.585938
23 0 0.0060675 0.292969
24 0 0.0060675 0.146484
25 1 0.00617655 0.219727
26 0 0.00617655 0.109863
27 0 0.00617655 0.0549316
28 1 0.00615969 0.0823975
29 0 0.00615969 0.0411987
30 1 0.00620404 0.0617981
31 0 0.00620404 0.030899
32 1 0.00612696 0.0463486
33 1 0.00609533 0.0695229
34 0 0.00609533 0.0347614
35 1 0.00605757 0.0521421
36 0 0.00605757 0.0260711
37 1 0.00612713 0.0391066
38 1 0.00609838 0.0586599
39 1 0.00610664 0.0879899
40 0 0.00610664 0.0439949
